Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name
CR0 0BL,Yes,51.33673,-0.004859,539077,161627,TQ390616,"New Addington South","Croydon, unparished area",1980-01-01,,161,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001079,"Croydon 036B"
CR0 0BN,Yes,51.337055,-0.004414,539107,161664,TQ391616,"New Addington South","Croydon, unparished area",1980-01-01,,160,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001079,"Croydon 036B"
CR0 0BP,Yes,51.337913,-0.007219,538909,161754,TQ389617,"New Addington South","Croydon, unparished area",1980-01-01,,157,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001076,"Croydon 036A"
CR0 0BQ,Yes,51.337672,-0.003683,539156,161734,TQ391617,"New Addington South","Croydon, unparished area",1980-01-01,,159,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001079,"Croydon 036B"
CR0 0BR,Yes,51.336081,-0.002661,539232,161559,TQ392615,"New Addington South","Croydon, unparished area",1980-01-01,,161,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001079,"Croydon 036B"
CR0 0BS,Yes,51.338231,-0.007435,538893,161789,TQ388617,"New Addington South","Croydon, unparished area",1980-01-01,,156,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001076,"Croydon 036A"
CR0 0BT,Yes,51.337413,-0.006939,538930,161699,TQ389616,"New Addington South","Croydon, unparished area",1980-01-01,,158,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001076,"Croydon 036A"
CR0 0BU,Yes,51.338255,-0.004118,539124,161798,TQ391617,"New Addington South","Croydon, unparished area",1980-01-01,,157,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001079,"Croydon 036B"
CR0 0BW,Yes,51.336777,-0.002301,539255,161637,TQ392616,"New Addington South","Croydon, unparished area",1980-01-01,,160,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001081,"Croydon 036D"
CR0 0BX,Yes,51.3352,-0.002642,539236,161461,TQ392614,"New Addington South","Croydon, unparished area",1980-01-01,,163,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001081,"Croydon 036D"
CR0 0BY,Yes,51.334532,-0.004653,539098,161383,TQ390613,"New Addington South","Croydon, unparished area",1980-01-01,,163,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001081,"Croydon 036D"
CR0 0BZ,Yes,51.337618,-0.012085,538571,161712,TQ385617,"New Addington South","Croydon, unparished area",1984-02-01,,156,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001080,"Croydon 036C"
CR0 0DA,Yes,51.341283,-0.017684,538170,162109,TQ381621,"New Addington South","Croydon, unparished area",1980-01-01,,152,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001080,"Croydon 036C"
CR0 0DB,Yes,51.339903,-0.015318,538339,161960,TQ383619,"New Addington South","Croydon, unparished area",1980-01-01,,154,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001078,"Croydon 032D"
CR0 0DD,Yes,51.342052,-0.017995,538146,162194,TQ381621,"New Addington South","Croydon, unparished area",1980-01-01,,151,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001078,"Croydon 032D"
CR0 0DE,Yes,51.342149,-0.017359,538190,162206,TQ381622,"New Addington South","Croydon, unparished area",1980-01-01,,150,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001080,"Croydon 036C"
CR0 0DF,Yes,51.34184,-0.017172,538204,162172,TQ382621,"New Addington South","Croydon, unparished area",1980-01-01,,150,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001080,"Croydon 036C"
CR0 0DG,Yes,51.339788,-0.013857,538441,161950,TQ384619,"New Addington South","Croydon, unparished area",1980-01-01,,153,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001080,"Croydon 036C"
CR0 0DH,Yes,51.340437,-0.014979,538361,162020,TQ383620,"New Addington South","Croydon, unparished area",1980-01-01,,152,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001080,"Croydon 036C"
CR0 0DJ,Yes,51.339523,-0.01417,538420,161920,TQ384619,"New Addington South","Croydon, unparished area",1980-01-01,,153,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001080,"Croydon 036C"
CR0 0DL,Yes,51.338554,-0.013738,538453,161813,TQ384618,"New Addington South","Croydon, unparished area",1980-01-01,,156,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001080,"Croydon 036C"
