Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name
CR0 3NX,Yes,51.38078,-0.115853,531220,166321,TQ312663,"Broad Green","Croydon, unparished area",1980-01-01,,41,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001010,"Croydon 019D"
CR0 3NY,Yes,51.382182,-0.116887,531144,166475,TQ311664,"Broad Green","Croydon, unparished area",1980-01-01,,40,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001008,"Croydon 019B"
CR0 3NZ,Yes,51.383415,-0.119208,530979,166608,TQ309666,"Broad Green","Croydon, unparished area",1980-01-01,,41,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001008,"Croydon 019B"
CR0 3PA,Yes,51.384798,-0.109551,531647,166779,TQ316667,"Broad Green","Croydon, unparished area",1980-01-01,,49,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001005,"Croydon 019A"
CR0 3PB,Yes,51.385729,-0.110421,531584,166881,TQ315668,"Broad Green","Croydon, unparished area",1980-01-01,,49,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001005,"Croydon 019A"
CR0 3PD,Yes,51.384697,-0.111107,531539,166765,TQ315667,"Broad Green","Croydon, unparished area",1980-01-01,,45,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001005,"Croydon 019A"
CR0 3PE,Yes,51.387029,-0.111284,531520,167024,TQ315670,"Broad Green","Croydon, unparished area",1980-01-01,,47,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001009,"Croydon 019C"
CR0 3PF,Yes,51.38751,-0.111541,531501,167077,TQ315670,"West Thornton","Croydon, unparished area",1980-01-01,,47,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001181,"Croydon 015E"
CR0 3PG,Yes,51.384996,-0.111239,531529,166798,TQ315667,"Broad Green","Croydon, unparished area",1980-01-01,,45,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001005,"Croydon 019A"
CR0 3PH,Yes,51.383764,-0.112913,531416,166658,TQ314666,"Broad Green","Croydon, unparished area",1980-01-01,,41,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001005,"Croydon 019A"
CR0 3PJ,Yes,51.384037,-0.113118,531401,166688,TQ314666,"Broad Green","Croydon, unparished area",1980-01-01,,41,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001009,"Croydon 019C"
CR0 3PL,Yes,51.385518,-0.111835,531486,166855,TQ314668,"Broad Green","Croydon, unparished area",1980-01-01,,44,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001009,"Croydon 019C"
CR0 3PN,Yes,51.384775,-0.113145,531397,166770,TQ313667,"Broad Green","Croydon, unparished area",1980-01-01,,42,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001009,"Croydon 019C"
CR0 3PP,Yes,51.38525,-0.111401,531517,166826,TQ315668,"Broad Green","Croydon, unparished area",1980-01-01,,45,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001005,"Croydon 019A"
CR0 3PQ,Yes,51.384386,-0.113031,531406,166727,TQ314667,"Broad Green","Croydon, unparished area",1980-01-01,,41,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001009,"Croydon 019C"
CR0 3PR,Yes,51.386004,-0.112404,531445,166908,TQ314669,"Broad Green","Croydon, unparished area",1980-01-01,,44,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001009,"Croydon 019C"
CR0 3PS,Yes,51.385688,-0.112374,531448,166873,TQ314668,"Broad Green","Croydon, unparished area",1980-01-01,,43,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001009,"Croydon 019C"
CR0 3PT,Yes,51.385554,-0.115197,531252,166853,TQ312668,"Broad Green","Croydon, unparished area",1980-01-01,,42,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001009,"Croydon 019C"
CR0 3PU,Yes,51.386677,-0.113455,531370,166981,TQ313669,"West Thornton","Croydon, unparished area",1980-01-01,,43,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001181,"Croydon 015E"
CR0 3PW,Yes,51.386087,-0.114776,531280,166913,TQ312669,"West Thornton","Croydon, unparished area",1980-01-01,,42,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001180,"Croydon 016E"
CR0 3PY,Yes,51.386228,-0.112913,531409,166932,TQ314669,"Broad Green","Croydon, unparished area",1980-01-01,,43,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001009,"Croydon 019C"
CR0 3PZ,Yes,51.385766,-0.114398,531307,166878,TQ313668,"Broad Green","Croydon, unparished area",1980-01-01,,42,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001009,"Croydon 019C"
CR0 3QA,Yes,51.387333,-0.114003,531330,167053,TQ313670,"West Thornton","Croydon, unparished area",1980-01-01,,42,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001181,"Croydon 015E"
CR0 3QB,Yes,51.386704,-0.11627,531174,166979,TQ311669,"West Thornton","Croydon, unparished area",1980-01-01,,40,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001181,"Croydon 015E"
CR0 3QD,Yes,51.3884,-0.116028,531186,167168,TQ311671,"West Thornton","Croydon, unparished area",1980-01-01,,41,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001179,"Croydon 016D"
CR0 3QE,Yes,51.387326,-0.112968,531402,167054,TQ314670,"West Thornton","Croydon, unparished area",1980-01-01,,44,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001181,"Croydon 015E"
CR0 3QF,Yes,51.386445,-0.11581,531207,166951,TQ312669,"West Thornton","Croydon, unparished area",1980-01-01,,40,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001180,"Croydon 016E"
CR0 3QG,Yes,51.384927,-0.114216,531322,166785,TQ313667,"Broad Green","Croydon, unparished area",1980-01-01,,42,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001009,"Croydon 019C"
CR0 3QH,Yes,51.384955,-0.113741,531355,166789,TQ313667,"Broad Green","Croydon, unparished area",1980-01-01,,42,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001009,"Croydon 019C"
CR0 3QJ,Yes,51.383396,-0.114639,531297,166614,TQ312666,"Broad Green","Croydon, unparished area",1980-01-01,,40,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001008,"Croydon 019B"
CR0 3QL,Yes,51.383209,-0.114204,531328,166594,TQ313665,"Broad Green","Croydon, unparished area",1980-01-01,,40,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001009,"Croydon 019C"
CR0 3QN,Yes,51.384453,-0.11106,531543,166738,TQ315667,"Broad Green","Croydon, unparished area",1980-01-01,,44,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001005,"Croydon 019A"
CR0 3QP,Yes,51.383406,-0.113014,531410,166618,TQ314666,"Broad Green","Croydon, unparished area",1980-01-01,,41,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001005,"Croydon 019A"
CR0 3QQ,Yes,51.384145,-0.1109,531555,166704,TQ315667,"Broad Green","Croydon, unparished area",1980-01-01,,44,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001005,"Croydon 019A"
CR0 3QR,Yes,51.383036,-0.112972,531414,166577,TQ314665,"Broad Green","Croydon, unparished area",1980-01-01,,41,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001005,"Croydon 019A"
CR0 3QS,Yes,51.387602,-0.115069,531255,167081,TQ312670,"West Thornton","Croydon, unparished area",1980-01-01,,41,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001179,"Croydon 016D"
CR0 3QT,Yes,51.386488,-0.114544,531295,166958,TQ312669,"West Thornton","Croydon, unparished area",1980-01-01,,42,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001181,"Croydon 015E"
CR0 3QU,Yes,51.388186,-0.114456,531296,167147,TQ312671,"West Thornton","Croydon, unparished area",1980-01-01,,43,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001181,"Croydon 015E"
CR0 3QW,Yes,51.387819,-0.114586,531288,167106,TQ312671,"West Thornton","Croydon, unparished area",1980-01-01,,42,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001181,"Croydon 015E"
CR0 3QX,Yes,51.388041,-0.115483,531225,167129,TQ312671,"West Thornton","Croydon, unparished area",1980-01-01,,41,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001179,"Croydon 016D"
CR0 3QY,Yes,51.384231,-0.116243,531183,166704,TQ311667,"Broad Green","Croydon, unparished area",1980-01-01,,40,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001009,"Croydon 019C"
CR0 3QZ,Yes,51.384205,-0.115741,531218,166702,TQ312667,"Broad Green","Croydon, unparished area",1980-01-01,,40,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001008,"Croydon 019B"
CR0 3RA,Yes,51.376993,-0.106844,531858,165916,TQ318659,"Fairfield","Croydon, unparished area",1980-01-01,,44,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001014,"Croydon 024A"
CR0 3RB,Yes,51.375044,-0.108128,531774,165697,TQ317656,"Waddon","Croydon, unparished area",1980-01-01,,44,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001014,"Croydon 024A"
CR0 3RD,Yes,51.375227,-0.108857,531723,165716,TQ317657,"Waddon","Croydon, unparished area",1980-01-01,,43,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001014,"Croydon 024A"
CR0 3RE,Yes,51.378755,-0.107903,531779,166110,TQ317661,"Broad Green","Croydon, unparished area",1980-01-01,,45,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001013,"Croydon 020B"
CR0 3RF,Yes,51.376698,-0.10858,531738,165880,TQ317658,"Waddon","Croydon, unparished area",1987-04-01,,43,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001014,"Croydon 024A"
CR0 3RG,Yes,51.378853,-0.110083,531627,166117,TQ316661,"Broad Green","Croydon, unparished area",1980-01-01,,43,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001013,"Croydon 020B"
CR0 3RH,Yes,51.375833,-0.108498,531746,165784,TQ317657,"Waddon","Croydon, unparished area",1980-01-01,,43,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001014,"Croydon 024A"
CR0 3RJ,Yes,51.380085,-0.111771,531506,166251,TQ315662,"Broad Green","Croydon, unparished area",1980-01-01,,42,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001013,"Croydon 020B"
CR0 3RL,Yes,51.37715,-0.112686,531451,165923,TQ314659,"Broad Green","Croydon, unparished area",1980-01-01,,42,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001014,"Croydon 024A"
CR0 3RN,Yes,51.376398,-0.108977,531711,165846,TQ317658,"Waddon","Croydon, unparished area",1980-01-01,,43,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001014,"Croydon 024A"
CR0 3RP,Yes,51.378987,-0.112237,531477,166128,TQ314661,"Broad Green","Croydon, unparished area",1980-01-01,,43,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001010,"Croydon 019D"
CR0 3RQ,Yes,51.388633,-0.124973,530563,167178,TQ305671,"West Thornton","Croydon, unparished area",2004-02-01,,35,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001177,"Croydon 016C"
CR0 3RR,Yes,51.38038,-0.112794,531434,166282,TQ314662,"Broad Green","Croydon, unparished area",1980-01-01,,43,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001010,"Croydon 019D"
CR0 3RS,Yes,51.37829,-0.108641,531729,166057,TQ317660,"Broad Green","Croydon, unparished area",1980-01-01,,45,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001013,"Croydon 020B"
CR0 3RT,Yes,51.379295,-0.112953,531426,166161,TQ314661,"Broad Green","Croydon, unparished area",1980-01-01,,43,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001010,"Croydon 019D"
CR0 3RU,Yes,51.378841,-0.111003,531563,166114,TQ315661,"Broad Green","Croydon, unparished area",1980-01-01,,43,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001013,"Croydon 020B"
CR0 3RW,Yes,51.379765,-0.111971,531493,166215,TQ314662,"Broad Green","Croydon, unparished area",1980-01-01,,43,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001010,"Croydon 019D"
CR0 3RX,Yes,51.378791,-0.106263,531893,166117,TQ318661,"Broad Green","Croydon, unparished area",1980-01-01,,46,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001013,"Croydon 020B"
CR0 3RY,Yes,51.377243,-0.10673,531865,165944,TQ318659,"Fairfield","Croydon, unparished area",1983-03-01,,45,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001014,"Croydon 024A"
CR0 3RZ,Yes,51.378389,-0.118153,531067,166051,TQ310660,"Broad Green","Croydon, unparished area",1986-04-01,,40,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001010,"Croydon 019D"
CR0 3SA,Yes,51.378809,-0.10905,531699,166114,TQ316661,"Broad Green","Croydon, unparished area",1980-01-01,,44,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001013,"Croydon 020B"
CR0 3SB,Yes,51.379616,-0.110023,531629,166202,TQ316662,"Broad Green","Croydon, unparished area",1980-01-01,,44,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001013,"Croydon 020B"
CR0 3SD,Yes,51.378194,-0.107122,531835,166049,TQ318660,"Broad Green","Croydon, unparished area",1980-01-01,,45,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001013,"Croydon 020B"
CR0 3SE,Yes,51.377929,-0.103529,532086,166026,TQ320660,"Fairfield","Croydon, unparished area",1980-01-01,,52,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001013,"Croydon 020B"
CR0 3SF,Yes,51.377751,-0.105875,531923,166002,TQ319660,"Fairfield","Croydon, unparished area",1980-01-01,,45,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001014,"Croydon 024A"
CR0 3SG,Yes,51.376964,-0.105606,531944,165915,TQ319659,"Fairfield","Croydon, unparished area",1980-01-01,,44,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001014,"Croydon 024A"
CR0 3SH,Yes,51.377298,-0.105696,531937,165952,TQ319659,"Fairfield","Croydon, unparished area",1980-01-01,,45,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001014,"Croydon 024A"
CR0 3SJ,Yes,51.376646,-0.105375,531961,165880,TQ319658,"Fairfield","Croydon, unparished area",1980-01-01,,45,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001014,"Croydon 024A"
CR0 3SL,Yes,51.37928,-0.105916,531916,166172,TQ319661,"Broad Green","Croydon, unparished area",1980-01-01,,47,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001013,"Croydon 020B"
CR0 3SN,Yes,51.378224,-0.105669,531936,166055,TQ319660,"Broad Green","Croydon, unparished area",1980-01-01,,47,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001014,"Croydon 024A"
CR0 3SP,Yes,51.380008,-0.10755,531800,166250,TQ317662,"Broad Green","Croydon, unparished area",1993-08-01,,46,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001013,"Croydon 020B"
CR0 3SQ,Yes,51.378824,-0.104423,532021,166124,TQ320661,"Fairfield","Croydon, unparished area",1980-01-01,,50,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001013,"Croydon 020B"
CR0 3SR,Yes,51.378431,-0.10625,531895,166077,TQ318660,"Broad Green","Croydon, unparished area",1980-01-01,,46,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001013,"Croydon 020B"
CR0 3SS,Yes,51.380692,-0.107036,531834,166327,TQ318663,"Broad Green","Croydon, unparished area",1980-01-01,,48,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001013,"Croydon 020B"
CR0 3ST,Yes,51.380848,-0.106642,531861,166345,TQ318663,"Broad Green","Croydon, unparished area",2019-07-01,,48,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001013,"Croydon 020B"
CR0 3SU,Yes,51.379109,-0.106983,531842,166151,TQ318661,"Broad Green","Croydon, unparished area",1980-01-01,,45,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001013,"Croydon 020B"
CR0 3SW,Yes,51.379449,-0.107472,531807,166188,TQ318661,"Broad Green","Croydon, unparished area",1980-01-01,,45,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001013,"Croydon 020B"
CR0 3SX,Yes,51.379441,-0.108076,531765,166186,TQ317661,"Broad Green","Croydon, unparished area",1980-01-01,,45,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001013,"Croydon 020B"
CR0 3SY,Yes,51.378231,-0.103887,532060,166059,TQ320660,"Fairfield","Croydon, unparished area",1980-01-01,,51,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001013,"Croydon 020B"
CR0 3SZ,Yes,51.378295,-0.107836,531785,166059,TQ317660,"Broad Green","Croydon, unparished area",1980-01-01,,45,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001014,"Croydon 024A"
CR0 3TA,Yes,51.379853,-0.108548,531731,166231,TQ317662,"Broad Green","Croydon, unparished area",1980-01-01,,44,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001013,"Croydon 020B"
CR0 3TB,Yes,51.380787,-0.109026,531695,166334,TQ316663,"Broad Green","Croydon, unparished area",1980-01-01,,45,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001013,"Croydon 020B"
CR0 3TD,Yes,51.380418,-0.108955,531701,166293,TQ317662,"Broad Green","Croydon, unparished area",1980-01-01,,44,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001013,"Croydon 020B"
CR0 3TE,Yes,51.380545,-0.110143,531618,166305,TQ316663,"Broad Green","Croydon, unparished area",1980-01-01,,44,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001013,"Croydon 020B"
CR0 3TF,Yes,51.38115,-0.109744,531644,166373,TQ316663,"Broad Green","Croydon, unparished area",1980-01-01,,44,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001013,"Croydon 020B"
CR0 3TG,Yes,51.381657,-0.109436,531664,166430,TQ316664,"Broad Green","Croydon, unparished area",1991-09-01,,45,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001011,"Croydon 019E"
CR0 3US,Yes,51.387356,-0.11541,531232,167053,TQ312670,"West Thornton","Croydon, unparished area",2008-12-01,,40,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001179,"Croydon 016D"
CR0 3WY,No,51.375716,-0.091863,532904,165801,TQ329658,"Addiscombe West","Croydon, unparished area",2004-09-01,2006-02-01,63,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01000975,"Croydon 022A"
CR0 4AA,Yes,51.371553,-0.120829,530900,165286,TQ309652,"Waddon","Croydon, unparished area",1980-01-01,,43,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001014,"Croydon 024A"
CR0 4AB,Yes,51.36818,-0.121915,530834,164909,TQ308649,"Waddon","Croydon, unparished area",1980-01-01,,46,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001167,"Croydon 028A"
CR0 4AD,Yes,51.369037,-0.122642,530781,165003,TQ307650,"Waddon","Croydon, unparished area",1980-01-01,,46,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001167,"Croydon 028A"
CR0 4AE,Yes,51.369335,-0.12217,530813,165037,TQ308650,"Waddon","Croydon, unparished area",1980-01-01,,45,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001167,"Croydon 028A"
CR0 4AF,Yes,51.369551,-0.121629,530850,165062,TQ308650,"Waddon","Croydon, unparished area",1980-01-01,,45,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001167,"Croydon 028A"
CR0 4AG,Yes,51.369649,-0.119298,531012,165077,TQ310650,"Waddon","Croydon, unparished area",1980-01-01,,42,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001168,"Croydon 024E"
CR0 4AH,Yes,51.370593,-0.122075,530816,165177,TQ308651,"Waddon","Croydon, unparished area",1980-01-01,,44,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001167,"Croydon 028A"
CR0 4AJ,Yes,51.368572,-0.119414,531007,164957,TQ310649,"Waddon","Croydon, unparished area",1980-01-01,,42,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001167,"Croydon 028A"
CR0 4AN,Yes,51.369697,-0.118405,531074,165084,TQ310650,"Waddon","Croydon, unparished area",1980-01-01,,44,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001168,"Croydon 024E"
CR0 4AP,Yes,51.368644,-0.118908,531042,164966,TQ310649,"Waddon","Croydon, unparished area",1980-01-01,,43,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001168,"Croydon 024E"
CR0 4AR,No,51.355514,-0.116631,531238,163510,TQ312635,"Waddon","Croydon, unparished area",1996-06-01,2010-03-01,66,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001172,"Croydon 028D"
CR0 4AS,No,51.379884,-0.123879,530664,166207,TQ306662,"Broad Green","Croydon, unparished area",2003-03-01,2008-12-01,43,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001010,"Croydon 019D"
CR0 4AT,No,51.372472,-0.109225,531705,165409,TQ317654,"Waddon","Croydon, unparished area",2008-11-01,2009-03-01,46,England,2021-02-21,"Approximate to within 50 metres",E01001166,"Croydon 024D"
CR0 4AU,Yes,51.36859,-0.111081,531587,164974,TQ315649,"Waddon","Croydon, unparished area",2010-02-01,,59,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001168,"Croydon 024E"
CR0 4AW,Yes,51.367681,-0.104323,532060,164885,TQ320648,"Waddon","Croydon, unparished area",2012-05-01,,52,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001166,"Croydon 024D"
CR0 4AX,Yes,51.36609,-0.106055,531944,164705,TQ319647,"Waddon","Croydon, unparished area",1992-08-01,,61,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001171,"Croydon 028C"
CR0 4AY,Yes,51.366616,-0.105789,531961,164764,TQ319647,"Waddon","Croydon, unparished area",1992-08-01,,60,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001171,"Croydon 028C"
CR0 4AZ,Yes,51.367208,-0.105693,531966,164830,TQ319648,"Waddon","Croydon, unparished area",1992-08-01,,57,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001171,"Croydon 028C"
CR0 4BA,Yes,51.368795,-0.107035,531868,165004,TQ318650,"Waddon","Croydon, unparished area",1980-01-01,,55,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001168,"Croydon 024E"
CR0 4BB,Yes,51.369309,-0.106569,531899,165062,TQ318650,"Waddon","Croydon, unparished area",1980-01-01,,54,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001166,"Croydon 024D"
CR0 4BD,Yes,51.360453,-0.118985,531060,164055,TQ310640,"Waddon","Croydon, unparished area",2002-06-01,,60,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001172,"Croydon 028D"
CR0 4BE,Yes,51.368401,-0.105471,531978,164963,TQ319649,"Waddon","Croydon, unparished area",1980-01-01,,51,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001166,"Croydon 024D"
CR0 4BF,Yes,51.373042,-0.108311,531767,165474,TQ317654,"Waddon","Croydon, unparished area",2009-11-01,,46,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001166,"Croydon 024D"
CR0 4BG,Yes,51.368402,-0.113344,531430,164949,TQ314649,"Waddon","Croydon, unparished area",1980-01-01,,51,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001168,"Croydon 024E"
CR0 4BH,Yes,51.369799,-0.109051,531725,165112,TQ317651,"Waddon","Croydon, unparished area",1980-01-01,,60,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001168,"Croydon 024E"
CR0 4BJ,No,51.369878,-0.109505,531693,165120,TQ316651,"Waddon","Croydon, unparished area",2000-09-01,2000-09-01,60,England,2021-02-21,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001168,"Croydon 024E"
CR0 4BL,Yes,51.370215,-0.109192,531714,165158,TQ317651,"Waddon","Croydon, unparished area",1980-01-01,,57,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001168,"Croydon 024E"
CR0 4BN,Yes,51.369961,-0.111297,531568,165126,TQ315651,"Waddon","Croydon, unparished area",1980-01-01,,54,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001168,"Croydon 024E"
CR0 4BP,Yes,51.369239,-0.112275,531502,165044,TQ315650,"Waddon","Croydon, unparished area",1980-01-01,,53,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001168,"Croydon 024E"
CR0 4BQ,Yes,51.368818,-0.112393,531495,164997,TQ314649,"Waddon","Croydon, unparished area",1980-01-01,,54,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001168,"Croydon 024E"
CR0 4BR,Yes,51.369672,-0.111812,531533,165093,TQ315650,"Waddon","Croydon, unparished area",1980-01-01,,53,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001168,"Croydon 024E"
CR0 4BS,Yes,51.369345,-0.10878,531745,165062,TQ317650,"Waddon","Croydon, unparished area",1980-01-01,,59,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001168,"Croydon 024E"
CR0 4BT,Yes,51.36838,-0.106434,531911,164959,TQ319649,"Waddon","Croydon, unparished area",1991-01-01,,53,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001166,"Croydon 024D"
CR0 4BU,Yes,51.372364,-0.109172,531709,165397,TQ317653,"Waddon","Croydon, unparished area",2010-02-01,,47,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001166,"Croydon 024D"
CR0 4BW,Yes,51.372816,-0.11605,531229,165435,TQ312654,"Waddon","Croydon, unparished area",2012-02-01,,41,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001014,"Croydon 024A"
CR0 4BX,Yes,51.366896,-0.107516,531840,164792,TQ318647,"Waddon","Croydon, unparished area",1996-12-01,,60,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001169,"Croydon 028B"
CR0 4BY,Yes,51.368431,-0.109579,531692,164959,TQ316649,"Waddon","Croydon, unparished area",1987-04-01,,61,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001168,"Croydon 024E"
CR0 4BZ,Yes,51.360622,-0.11385,531417,164083,TQ314640,"Waddon","Croydon, unparished area",1984-02-01,,58,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001172,"Croydon 028D"
CR0 4DA,Yes,51.364282,-0.109333,531721,164498,TQ317644,"Waddon","Croydon, unparished area",1980-01-01,,52,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001169,"Croydon 028B"
CR0 4DB,Yes,51.364177,-0.108978,531746,164487,TQ317644,"Waddon","Croydon, unparished area",1980-01-01,,53,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001171,"Croydon 028C"
CR0 4DD,Yes,51.364249,-0.110656,531629,164492,TQ316644,"Waddon","Croydon, unparished area",1980-01-01,,52,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001169,"Croydon 028B"
